Username,Handle,Timestamp,Comments,Responding,Text,Reply,Retweet,Likes
Leo's Animal Planet #STOPTHEGRIND,@LeosAnimalPlan1,2021-09-22T18:23:19.000Z,"Replying to 
@blackmambasapu
 @tusk_org
 and 9 others","I'm so thrilled to share my new video with 
@Cleve_Hicks
 on #WorldRhinoDay2021 
Buy his book ""A Rhino to The Rescue"" to help #SaveTheRhino 
￼
https://youtube.com/watch?v=zhqf0jjIYhk…

 #WorldRhinoDay 
#KeepTheFiveAlive 
#MyHornIsMyHorn
#BiteYourNails 
#wildlife 
#conservation
#RhinoConservation","Replying to 
@blackmambasapu
 @tusk_org
 and 9 othersI'm so thrilled to share my new video with 
@Cleve_Hicks
 on #WorldRhinoDay2021 
Buy his book ""A Rhino to The Rescue"" to help #SaveTheRhino 
￼
https://youtube.com/watch?v=zhqf0jjIYhk…

 #WorldRhinoDay 
#KeepTheFiveAlive 
#MyHornIsMyHorn
#BiteYourNails 
#wildlife 
#conservation
#RhinoConservation",,,1
IOCL Uttar Pradesh,@IOCL_UP,2021-09-22T18:19:42.000Z,"Spreading the message of saving the #Rhino on this #WorldRhinoDay with 
@IndianOilcl
.
#SaveTheRhino 
@ChairmanIOCL
 @DirHR_iocl
 @DirRnD_iocl","Quote Tweet
Indian Oil Allahabad DO
@IOCLDoAllahabad
·
Sep 22, 2021
#SaveTheRhino #WorldRhinoDay2021
Today on the World Rhino Day, Team Indian Oil at Prayagraj launched Selfie campaign at Retail Outlets to spread awareness among the Locals towards the Rhinos and their unparalleled legacy. #KeepTheFiveAlive #rhinoconservation @IOCL_UP @IndianOilcl","Spreading the message of saving the #Rhino on this #WorldRhinoDay with 
@IndianOilcl
.
#SaveTheRhino 
@ChairmanIOCL
 @DirHR_iocl
 @DirRnD_ioclQuote Tweet
Indian Oil Allahabad DO
@IOCLDoAllahabad
·
Sep 22, 2021
#SaveTheRhino #WorldRhinoDay2021
Today on the World Rhino Day, Team Indian Oil at Prayagraj launched Selfie campaign at Retail Outlets to spread awareness among the Locals towards the Rhinos and their unparalleled legacy. #KeepTheFiveAlive #rhinoconservation @IOCL_UP @IndianOilcl",,4.0,2
Indian Oil Allahabad DO,@IOCLDoAllahabad,2021-09-22T18:14:22.000Z,"#SaveTheRhino #WorldRhinoDay2021
Today on the World Rhino Day, Team Indian Oil at Prayagraj launched Selfie campaign at Retail Outlets to spread awareness among the Locals towards the Rhinos and their unparalleled legacy. #KeepTheFiveAlive #rhinoconservation 
@IOCL_UP
 @IndianOilcl",,"#SaveTheRhino #WorldRhinoDay2021
Today on the World Rhino Day, Team Indian Oil at Prayagraj launched Selfie campaign at Retail Outlets to spread awareness among the Locals towards the Rhinos and their unparalleled legacy. #KeepTheFiveAlive #rhinoconservation 
@IOCL_UP
 @IndianOilcl",1.0,5.0,10
Cunning Wildlife,@CunningWildlife,2021-09-22T18:13:59.000Z,"If a baby rhino could look excited about food, this is the face it would make!

Check out young Kasulu tucking into her tea.
.
.
#worldrhinoday #rhino #rhinoceros #thezoo #learnatcz #chesterzoo #SaveTheRhino #babyrhino #blackrhino #zoo #conservation",,"If a baby rhino could look excited about food, this is the face it would make!

Check out young Kasulu tucking into her tea.
.
.
#worldrhinoday #rhino #rhinoceros #thezoo #learnatcz #chesterzoo #SaveTheRhino #babyrhino #blackrhino #zoo #conservation",,,1
ATIXAG,@ATIXAG,2021-09-22T16:31:34.000Z,"10 Jahre #WorldRhinoDay! Nashörner sind uns wichtig, nicht nur weil unser #orcharhino so heißt und auch so aussieht. #SaveTheRhino","atix.de
Save the Rhino
Die ATIX AG unterstützt seit mehreren Jahren die Wohltätigkeitsorganisation ""Save The Rhino"". STR bekämpft den illegalen Handel und unterstützt Ranger.","10 Jahre #WorldRhinoDay! Nashörner sind uns wichtig, nicht nur weil unser #orcharhino so heißt und auch so aussieht. #SaveTheRhinoatix.de
Save the Rhino
Die ATIX AG unterstützt seit mehreren Jahren die Wohltätigkeitsorganisation ""Save The Rhino"". STR bekämpft den illegalen Handel und unterstützt Ranger.",,,3
Prancer530,@PrancerPaw,2021-09-22T16:31:25.000Z,#WorldRhinoDay #SaveTheRhino ,"youtube.com
TILL YOU'RE FREE AGAIN Don Clarke and The Drakondale Girls Choir
I have long been burdened by the plight of the Rhino, and have had it in mind to write a song about it for years. But for one reason or another I never did....","#WorldRhinoDay #SaveTheRhino youtube.com
TILL YOU'RE FREE AGAIN Don Clarke and The Drakondale Girls Choir
I have long been burdened by the plight of the Rhino, and have had it in mind to write a song about it for years. But for one reason or another I never did....",,1.0,1
Prancer530,@PrancerPaw,2021-09-22T16:30:39.000Z,"On #WorldRhinoDay, 2,500 horns turned to ashes in Assam. #SaveTheRhino ","thehindu.com
On World Rhino Day, 2,500 horns turned to ashes in Assam
Event to dispel myths that have driven the illegal trade and poaching of the animal","On #WorldRhinoDay, 2,500 horns turned to ashes in Assam. #SaveTheRhino thehindu.com
On World Rhino Day, 2,500 horns turned to ashes in Assam
Event to dispel myths that have driven the illegal trade and poaching of the animal",,2.0,2
IOCL Karnataka,@karnataka_ioc,2021-09-22T16:30:12.000Z,"#WorldRhinoDay2021 was observed at #IndianOil Shimoga Bottling Plant 
@karnataka_ioc
 #SaveTheRhino #KeepTheFiveAlive #IndianOilRhino",,"#WorldRhinoDay2021 was observed at #IndianOil Shimoga Bottling Plant 
@karnataka_ioc
 #SaveTheRhino #KeepTheFiveAlive #IndianOilRhino",,2.0,6
Njambiz Travels,@NjambizTravels,2021-09-22T16:23:10.000Z,Happy #worldrhinoday! It's sad that we are almost driving this amazing creatures to extinction. #savetheRhino #wildlife #travel #safari,,Happy #worldrhinoday! It's sad that we are almost driving this amazing creatures to extinction. #savetheRhino #wildlife #travel #safari,,2.0,4
SWNS.com,@SWNS,2021-09-22T16:23:08.000Z,"Officials in India burn around 2,500 old rhino horns on a mass pyre - to mark #WorldRhinoDay and raise awareness of poaching 

The fire was designed to send a strong message to poachers that the horn is of no medicinal value and its trade is completely illegal. #SaveTheRhino","1:19
107 views","Officials in India burn around 2,500 old rhino horns on a mass pyre - to mark #WorldRhinoDay and raise awareness of poaching 

The fire was designed to send a strong message to poachers that the horn is of no medicinal value and its trade is completely illegal. #SaveTheRhino1:19
107 views",,1.0,2
IOCL Karnataka,@karnataka_ioc,2021-09-22T16:22:29.000Z,"Time to do our bit to save these magnificent but endangered animals.On  #WorldRhinoDay2021  #IndianOil Karnataka conducted the awareness campaign to conserve & protect all the 5 species of #Rhinos across the world.
#SaveTheRhino  #KeepTheFiveAlive. 

#IndianOilRhino",Indian Oil Corp Ltd,"Time to do our bit to save these magnificent but endangered animals.On  #WorldRhinoDay2021  #IndianOil Karnataka conducted the awareness campaign to conserve & protect all the 5 species of #Rhinos across the world.
#SaveTheRhino  #KeepTheFiveAlive. 

#IndianOilRhinoIndian Oil Corp Ltd",3.0,2.0,10
IOCL Gurgaon DO,@GurgaonDO,2021-09-22T16:21:48.000Z,"#WorldRhinoDay2021 , #IndianOilRhino #SaveTheRhino #KeepTheFiveAlive",,"#WorldRhinoDay2021 , #IndianOilRhino #SaveTheRhino #KeepTheFiveAlive",,3.0,6
Lalit Kumar Rai,@LalitKumarRai13,2021-09-22T16:20:26.000Z,"#WorldRhinoDay2021 Celebrated at Indore City ROs on #WorldRhinoDay. Join us in spreading awareness to #SaveTheRhino 
@ioclmp
 @VSatishIOCL",,"#WorldRhinoDay2021 Celebrated at Indore City ROs on #WorldRhinoDay. Join us in spreading awareness to #SaveTheRhino 
@ioclmp
 @VSatishIOCL",1.0,,
Indore DO IOCL,@do_indore,2021-09-22T15:56:08.000Z,"Customer enjoying selfies with 
@IndianOilcl
 #mascot the Rhino on #WorldRhinoDay. Join us in spreading awareness to #SaveTheRhino #indore #dewas #ujjain #ratlam #IOCLrhino 
@ioclmp
 @VSatishIOCL",,"Customer enjoying selfies with 
@IndianOilcl
 #mascot the Rhino on #WorldRhinoDay. Join us in spreading awareness to #SaveTheRhino #indore #dewas #ujjain #ratlam #IOCLrhino 
@ioclmp
 @VSatishIOCL",,3.0,4
Zafri,@zafrimn,2021-09-22T15:53:15.000Z,"After 2479 #RhinoHorns burnt in #Assam to bust myth they have medicinal properties, 
@himantabiswa
 said a natural history #museum will come up at 
@kaziranga_
 Will preserve #rhino horns etc as heritage pieces. Heaviest horn (3.05 kg) will also be kept. #WorldRhinoDay #SaveTheRhino",IntlRhinoFoundation  and 4 others,"After 2479 #RhinoHorns burnt in #Assam to bust myth they have medicinal properties, 
@himantabiswa
 said a natural history #museum will come up at 
@kaziranga_
 Will preserve #rhino horns etc as heritage pieces. Heaviest horn (3.05 kg) will also be kept. #WorldRhinoDay #SaveTheRhinoIntlRhinoFoundation  and 4 others",1.0,1.0,1
Zaheer Ali,@zali_photo,2021-09-22T15:52:38.000Z,"World Rhino Day!

#savetherhino #rhinoday #worldrhinoday #zaliphotography","instagram.com
Zaheer Ali (@zali_photo) • Instagram photos and videos","World Rhino Day!

#savetherhino #rhinoday #worldrhinoday #zaliphotographyinstagram.com
Zaheer Ali (@zali_photo) • Instagram photos and videos",,,
Ajay Sharma,@ajaystwit,2021-09-22T15:50:34.000Z,"On World Rhino Day, let us do our bit to #SaveTheRhino. 
@IndianOilcl
 spreading awareness with it’s mascot. #Ioclmascot. #indore join us in spreading awareness and get your selfie in nearest IndianOil retail outlet. #WorldRhinoDay 
@VSatishIOCL
 @ioclmp
 @do_indore",,"On World Rhino Day, let us do our bit to #SaveTheRhino. 
@IndianOilcl
 spreading awareness with it’s mascot. #Ioclmascot. #indore join us in spreading awareness and get your selfie in nearest IndianOil retail outlet. #WorldRhinoDay 
@VSatishIOCL
 @ioclmp
 @do_indore",,2.0,7
Indore DO IOCL,@do_indore,2021-09-22T15:44:50.000Z,"On this World Rhino Day, let us come together to spread awareness and do our bit to #SaveTheRhino.#WorldRhinoDay 
@IndianOilcl
 @VSatishIOCL
 @ioclmp",,"On this World Rhino Day, let us come together to spread awareness and do our bit to #SaveTheRhino.#WorldRhinoDay 
@IndianOilcl
 @VSatishIOCL
 @ioclmp",,5.0,10
IndianOil Kerala,@IOCL_KERALA,2021-09-22T15:32:56.000Z,"#WorldRhinoDay celebrations at various retail outlets in Kerala #IndianOilRhino #indianoilmascot 
@IndianOilcl
 @ChairmanIOCL
 @DirHR_iocl
 @DirRnD_iocl
 #SaveTheRhino",IndianOil Cochin DO and 2 others,"#WorldRhinoDay celebrations at various retail outlets in Kerala #IndianOilRhino #indianoilmascot 
@IndianOilcl
 @ChairmanIOCL
 @DirHR_iocl
 @DirRnD_iocl
 #SaveTheRhinoIndianOil Cochin DO and 2 others",,1.0,4
Pete Goodyer,@BedesHead,2021-09-22T15:29:03.000Z,Happy world Rhino Day- a reminder of the importance of conserving these incredible animals. #WorldRhinoDay2021 #SaveTheRhino #wildlife #conservation,,Happy world Rhino Day- a reminder of the importance of conserving these incredible animals. #WorldRhinoDay2021 #SaveTheRhino #wildlife #conservation,1.0,,3
Rhino Athletics Club,@rhinos_uganda,2021-09-22T15:22:56.000Z,"Rhino Fund Uganda - Charity profile:  https://givengain.com/c/rhinofunduganda/… via 
@GivenGain
@rhinofunduganda
 is currently restructuring and preparing for a bigger, brighter and better future to keep growing the rhino numbers in Uganda.
@RhinoDaySept22 
@savetherhino
#donate
#SaveTheRhino","givengain.com
Rhino Fund Uganda","Rhino Fund Uganda - Charity profile:  https://givengain.com/c/rhinofunduganda/… via 
@GivenGain
@rhinofunduganda
 is currently restructuring and preparing for a bigger, brighter and better future to keep growing the rhino numbers in Uganda.
@RhinoDaySept22 
@savetherhino
#donate
#SaveTheRhinogivengain.com
Rhino Fund Uganda",,3.0,5
Cruga Biltong,@cruga_biltong,2021-09-22T14:32:02.000Z,"Happy World Rhino Day, from all at Cruga Biltong!
_
#cruga #biltong #savetherhino #WorldRhinoDay",,"Happy World Rhino Day, from all at Cruga Biltong!
_
#cruga #biltong #savetherhino #WorldRhinoDay",,1.0,2
Nidhi Goel,@NidhiGo18407104,2021-09-22T14:30:53.000Z,"Super Proud to be an IOCian. On this World Rhino Day we promise to save this endangered species, making this ecological jewel our Brand Mascot. 
@sksinha_ioc
 @Bohrashyam2
 @VigyanKumar
 @SandeepMakker
 #IndianOilRhino #indianoilmascot #SaveRhinos #IndianOilRhinoishere #SaveTheRhino",,"Super Proud to be an IOCian. On this World Rhino Day we promise to save this endangered species, making this ecological jewel our Brand Mascot. 
@sksinha_ioc
 @Bohrashyam2
 @VigyanKumar
 @SandeepMakker
 #IndianOilRhino #indianoilmascot #SaveRhinos #IndianOilRhinoishere #SaveTheRhino",,2.0,9
IOCLRefineries @IOCL_ParadipRefinery,IOCLRefineries @IOCL_ParadipRefinery,2021-09-22T14:27:07.000Z,"@IndianOilcl
's Paradip Refinery, on the occasion of 10th World Rhino Day, organised a Walkathon to generate awareness among PDRians to protect these endangered species.

#SaveTheRhino
#WorldRhinoDay
@ChairmanIOCL
@IOCRHQ",,"@IndianOilcl
's Paradip Refinery, on the occasion of 10th World Rhino Day, organised a Walkathon to generate awareness among PDRians to protect these endangered species.

#SaveTheRhino
#WorldRhinoDay
@ChairmanIOCL
@IOCRHQ",,2.0,3
DCKAP,@DCKAP,2021-09-22T14:24:43.000Z,"@DCKAP
 Community just got bigger as Ramu and Rhine, two Greater One-Horned Rhinos (also our mascots) aged 6 & 4, of the 
@VandalurZoo
 join us. 

Read more: https://ndtv.com/india-news/world-rhino-day-two-rhinos-at-tamil-nadu-zoo-adopted-by-it-firm-2549737… 

#SaveTheRhino #wildlife #DCKAP","ALT
ALT","@DCKAP
 Community just got bigger as Ramu and Rhine, two Greater One-Horned Rhinos (also our mascots) aged 6 & 4, of the 
@VandalurZoo
 join us. 

Read more: https://ndtv.com/india-news/world-rhino-day-two-rhinos-at-tamil-nadu-zoo-adopted-by-it-firm-2549737… 

#SaveTheRhino #wildlife #DCKAPALT
ALT",,7.0,13
"Indane Divisional Office, Jalandhar",@IndaneJLIDO,2021-09-22T14:10:58.000Z,"#WorldRhinoDay2021 celebrated at Kathlaur Khushlian Wildlife Sanctuary.  District Pathankot, Punjab under campaign #SaveTheRhino #IndianOilRhino 
@ioclpunjab
 #indianoilmascot",,"#WorldRhinoDay2021 celebrated at Kathlaur Khushlian Wildlife Sanctuary.  District Pathankot, Punjab under campaign #SaveTheRhino #IndianOilRhino 
@ioclpunjab
 #indianoilmascot",,6.0,7
IndianOil AOD,@IOCL_Assam,2021-09-22T13:58:48.000Z,"An Essay Competition with the theme #SaveTheRhino  was held at Bokhakhat Girls High School, Kaziranga on the occasion of #WorldRhinoDay2021 by Kaziranga Gas Service.
#IndianOilRhino #SaveRhinoWithIndianOil",Indian Oil Corp Ltd and 5 others,"An Essay Competition with the theme #SaveTheRhino  was held at Bokhakhat Girls High School, Kaziranga on the occasion of #WorldRhinoDay2021 by Kaziranga Gas Service.
#IndianOilRhino #SaveRhinoWithIndianOilIndian Oil Corp Ltd and 5 others",,2.0,8
silicon rhino,@siliconrhino,2021-09-22T13:54:06.000Z,"It is World Rhino Day, and with only 5 species left on the planet, we must do everything we can to protect them.

Help in any way you can 

https://savetherhino.org #WorldRhinoDay2021  #SaveTheRhino",,"It is World Rhino Day, and with only 5 species left on the planet, we must do everything we can to protect them.

Help in any way you can 

https://savetherhino.org #WorldRhinoDay2021  #SaveTheRhino",,3.0,2
Mani Ayyar,@Mani_Ayyar,2021-09-22T13:43:02.000Z,"Replying to 
@EconomicTimes",Hope all humans accept & understand .. & stop buying animal parts for fashion or for fake medicines or any reason.  #SaveTheRhino !!,"Replying to 
@EconomicTimesHope all humans accept & understand .. & stop buying animal parts for fashion or for fake medicines or any reason.  #SaveTheRhino !!",,,
marysue k shore,@mkshoredc,2021-09-22T13:42:59.000Z,"Celebrate World Rhino Day 
#worldrhinoday #savetherhino","linkedin.com
Marysue K. Shore on LinkedIn: #worldrhinoday #savetherhino #keepthe5alive
Celebrate World Rhino Day  ""Keep the Five Alive."" #worldrhinoday #savetherhino #keepthe5alive","Celebrate World Rhino Day 
#worldrhinoday #savetherhinolinkedin.com
Marysue K. Shore on LinkedIn: #worldrhinoday #savetherhino #keepthe5alive
Celebrate World Rhino Day  ""Keep the Five Alive."" #worldrhinoday #savetherhino #keepthe5alive",,,
Prag News,@PragNews,2021-09-22T13:27:59.000Z,"#NewsFlash 

ভাৰতীয় তেল নিগমৰ উদ্যোগত ‘বিশ্ব গঁড় দিৱস’ পালন https://pragnews.com/as/world-rhino-day-2021/… 

#PragNews #Worldrhinoday  #prehistoricanimals #savetherhino #rhinoceros",2,"#NewsFlash 

ভাৰতীয় তেল নিগমৰ উদ্যোগত ‘বিশ্ব গঁড় দিৱস’ পালন https://pragnews.com/as/world-rhino-day-2021/… 

#PragNews #Worldrhinoday  #prehistoricanimals #savetherhino #rhinoceros2",,,2
IndianOil South Eastern Region Pipelines,@iocl_serpl,2021-09-22T13:21:14.000Z,"IndianOil's South Eastern Region Pipelines, PHBPL Balasore organized #SaveTheRhino awareness campaign for tourists at Chandipur Beach in Odisha today, to mark #WorldRhinoDay2021.
#IndianOilRhino
#IndianOilMascot 
@IndianOilcl",,"IndianOil's South Eastern Region Pipelines, PHBPL Balasore organized #SaveTheRhino awareness campaign for tourists at Chandipur Beach in Odisha today, to mark #WorldRhinoDay2021.
#IndianOilRhino
#IndianOilMascot 
@IndianOilcl",1.0,1.0,6
